channel_index,baseline_eo,pruned_eo,delta_eo_abs,phi,gap_y0,gap_y1,activation_gap,mean_gradient,importance_channel
98,0.22731779732677534,0.2336840172692529,0.006366219942477547,3.1796128563031904e-06,0.04991095562735648,0.057082791709061054,0.10699374733641753,2.971774459217341e-05,1.847158301870877e-07
99,0.22731779732677534,0.22568477274943594,0.0016330245773394092,8.151261769303235e-07,0.014763788647602735,0.06695073692972581,0.08171452557732854,9.975291065710818e-06,4.4850136049490175e-08
100,0.22731779732677534,0.22758957236953403,0.00027177504275868736,9.153119446947831e-07,0.03798690118240988,0.03771919740977209,0.07570609859218197,1.2090333034138225e-05,9.461039951474959e-08
101,0.22731779732677534,0.2191820831303944,0.008135714196380955,7.005599333042194e-06,0.08235493982732763,0.09731955578275078,0.17967449561007842,3.899050507560869e-05,1.362973307550419e-07
102,0.22731779732677534,0.2173961668118417,0.009921630514933638,9.552996971664337e-06,0.15508700508707493,0.17584684851849253,0.3309338536055675,2.8866786723640357e-05,3.564388251220407e-08
103,0.22731779732677534,0.2274312559956833,0.00011345866890796752,8.869257089887279e-07,0.02169827268897897,0.003177271549334882,0.02487554423831385,3.565452480121684e-05,9.628369213032784e-08
104,0.22731779732677534,0.24538870905168278,0.018070911724907435,7.106264419026429e-06,0.04780556432464633,0.10364899114959444,0.15145455547424078,4.6920110106790776e-05,9.456726246526159e-08
105,0.22731779732677534,0.22660334700562423,0.0007144503211511111,1.2100399054335655e-06,0.061583378254355364,0.06438048812473929,0.12596386637909465,9.606246141983995e-06,5.064615749006407e-08
106,0.22731779732677534,0.22812957073190193,0.0008117734051265868,6.508806214185731e-07,0.015168202060017955,0.029385926478858015,0.04455412853887597,1.460876113536018e-05,9.57216030883501e-08
107,0.22731779732677534,0.2294167933427273,0.002098996015951954,7.401844792805951e-07,0.025173782591127097,0.04037572034024656,0.06554950293137365,1.1291992252870678e-05,5.6108909518570727e-08
108,0.22731779732677534,0.22500531999853363,0.002312477328241719,7.175421548944e-07,0.0034548423398254313,0.053644764401924394,0.057099606741749825,1.2566499067842982e-05,4.2437253711113954e-08
109,0.22731779732677534,0.22676417431385168,0.0005536230129236652,2.348940668408472e-06,0.08618627579749877,0.06006505408916052,0.1462513298866593,1.6060986729001616e-05,3.747237187212704e-08
110,0.22731779732677534,0.22757014156842864,0.00025234424165329616,7.812377258789584e-07,0.031101357127425844,0.018389347992883602,0.049490705120309446,1.5785544456879496e-05,1.415091190892781e-07
111,0.22731779732677534,0.22245566544145273,0.0048621318853226125,5.22020053166818e-06,0.05255794432717553,0.09726840000267331,0.14982634432984884,3.48416732385574e-05,6.495985616083999e-08
112,0.22731779732677534,0.2249495148583577,0.0023682824684176373,8.27901687037069e-07,0.006180987801375132,0.057306107575677556,0.06348709537705269,1.3040471959224534e-05,8.132695228368902e-08
113,0.22731779732677534,0.2281897115237742,0.0008719141969988631,8.000291267756097e-07,0.023542403050180627,0.0020292032593456633,0.02557160630952629,3.128583778006827e-05,8.442890475635068e-08
114,0.22731779732677534,0.22491217012356968,0.002405627203205668,1.4016360497173563e-06,0.04688164684292107,0.03291346766980423,0.07979511451272531,1.7565436910223755e-05,9.94591786707133e-08
